[0628/131207:WARNING:raw_channel_win.cc(532)] WriteFile: 管道正在被关闭。 (0xE8)
[0830/105552:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/105621:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/105923:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/105944:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/110037:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/110043:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/110208:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/110350:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/111353:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/112035:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/112347:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/112440:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/112742:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/112846:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/112904:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/113017:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0830/113104:ERROR:renderer_main.cc(227)] Running without renderer sandbox
